feature_name,prevalence,variance,correlation,is_whitelist,importance_score
CC1=CC=C(CN)C=C1,0.09599156118143459,0.10931747,0.1167248442051335,False,0.011204600023910494
CP(C1=CC=CC=C1)C1=CC=CC=C1,0.08122362869198312,0.48005015,0.2692918491582238,False,0.021872861165805096
CC1=CC(C)=C(C)C=C1,0.09071729957805907,0.090427436,0.12265104029481648,False,0.011126571165985462
S,0.06751054852320675,0.12996484,0.22716507119782037,False,0.015336038561878167
CC1=CC(O)=CC=C1,0.08438818565400844,0.15964216,0.10763383694739871,False,0.009083024214970354
CC(C)C=O,0.17932489451476794,0.45174107,0.04928396693315574,False,0.008837842171557465
CC1=CC(C)=C(C=O)C=C1,0.08860759493670886,0.06994489,0.11173422736376205,False,0.00990050115881436
CC1=CC=C(OP=O)C=C1,0.08544303797468354,0.07010863,0.27770024842557123,False,0.023727552871805137
CC1=CC=C(NC=O)C=C1,0.06118143459915612,0.0670269,0.17003338988409183,False,0.010402886722866378
CCNC1=CC=C(C)C=C1,0.05907172995780591,0.05898343,0.1922364265186711,False,0.011355738275364537
CN(CC1=CC=CC=C1)C1=CC=CC=C1,0.07805907172995781,0.062142946,0.052653133594582846,False,0.004110054732066594
CP(=O)(C1=CC=CC=C1)C1=CC=CC=C1,0.07067510548523206,0.39523697,0.23290502973925473,False,0.016460587544862938
CC1=CC2=C(C=C1)C(=O)NC2,0.07383966244725738,0.061657134,0.08453050452881535,False,0.006241703920904087
OC1=CC=C(O)C=C1,0.08227848101265822,0.074334614,0.20108762790675858,False,0.016545184574606717
CC1=CC=CC=C1C(=O)NC1=CC=CC=C1,0.07067510548523206,0.14392652,0.05395070386414986,False,0.0038129716866013084
OPOC1=CC=CC=C1,0.08544303797468354,0.20629905,0.3249561831742591,False,0.027765243499066443
CCC(=O)O,0.1719409282700422,0.25040436,0.21262970661177005,False,0.03655974913261447
CCNC(=O)C1=CC=CC=C1,0.05485232067510549,0.15582205,0.1928800873908423,False,0.010579920405404853
CC1=CC(CN(C)C2=CC=CC=C2)=CC=C1,0.06962025316455696,0.05419803,0.02247984781090583,False,0.0015650526956959754
O=CC1=CC=C(OC2=CC=CC=C2)C=C1,0.05907172995780591,0.15239617,0.21297287383798738,False,0.012580676091695457
COP(C)C1=CC=CC=C1,0.12763713080168776,0.13054007,0.1655226840818478,False,0.02112684047880125
O=COC1=CC=CC=C1,0.06962025316455696,0.12760274,0.1682336150967338,False,0.011712466873823237
O=CC1=CC=C2C(=O)NC(=O)C2=C1,0.05590717299578059,0.053356495,0.04133402659002914,False,0.002310868575180954
CCOP,0.10864978902953587,0.098472424,0.010462392912083318,False,0.001136736782641964
OC1=C(P)C=CC=C1,0.06223628691983123,0.065478235,0.27712576787857013,False,0.017247278802569238
C=CC,0.05485232067510549,0.7710824,0.015454130210509115,False,0.0008476949060616815
COC1=CC=C(OC)C=C1,0.06223628691983123,0.06367868,0.14440646237341007,False,0.00898732202534936
CCOC(=O)C1=CC=C(C=O)C=C1,0.28270042194092826,0.17606844,0.14224226519029323,False,0.04021194838712931
CCOC(=O)CC,0.11286919831223628,0.07922624,0.059577466442917164,False,0.00672446087488622
PNC1=CC=CC=C1,0.05590717299578059,0.3230514,0.09807217928796566,False,0.005482938293525506
CNCC(C)C,0.05168776371308017,1.0040704,0.03778762606332599,False,0.0019531578872394235
OCCOC1=CC=CC=C1,0.06329113924050633,0.12407924,0.08214646760760733,False,0.0051991435194688185
CCOC1=CC=C(O)C=C1,0.06329113924050633,0.13389969,0.1736571178708233,False,0.010990956827267298
CCCCCNCCC,0.10126582278481013,5.4977646,0.01762823600540371,False,0.0017851378233320213
CCOPO,0.08860759493670886,0.2627507,0.04874505444856605,False,0.0043191820397463585
CCOPOC,0.08860759493670886,0.15606567,0.04810546689187952,False,0.004262509724596919
CCCCCNCCCC,0.10126582278481013,6.316408,0.014184802549215478,False,0.0014364357011863776
NCCCCCC=O,0.10654008438818566,0.6678573,0.032651825394251474,False,0.0034787282329318556
NCCCCCCN,0.07067510548523206,0.2250772,0.0306352879988004,False,0.0021651522108856822
O=CC1=CC=C(COCCO)C=C1,0.23523206751054854,0.15475398,0.09248818221191733,False,0.02175618632200165
CC(C)CO,0.11919831223628692,0.55623454,0.057832574129614435,False,0.006893545228529991
CCOCCOC,0.05063291139240506,0.057945587,0.04402374049883148,False,0.0022290501518395685
COP(C)O,0.08333333333333333,0.07445476,0.05689915801011722,False,0.004741596500843101
CCCCCCNC(=O)CC,0.08438818565400844,0.35605082,0.057351236517283306,False,0.0048397667947074514
CCOPC,0.07067510548523206,0.05331552,0.07153904347781659,False,0.00505602944410729
CCCCCNC(=O)CCCC,0.07911392405063292,0.2092092,0.05220430571662184,False,0.004130087477580842
COCC(C)C,0.0981012658227848,0.39947867,0.07435057875194893,False,0.007293885890222838
CCCCCCNC(=O)CCCC,0.05168776371308017,0.05487236,0.09985927025145484,False,0.005161502365317813
Br,0.04008438818565401,0.59410864,0.44989003768965785,True,0.01803356691161076
F,0.027426160337552744,1.7294855,0.3555019898213419,True,0.009750054573159167
