combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
320,0.05,0.01,70,0.8,43,0.8419224043508582
321,0.05,0.01,70,0.85,52,0.8383515445392404
322,0.05,0.01,70,0.9,75,0.8439119251995069
323,0.05,0.01,70,0.95,100,0.8409541775787561
324,0.05,0.01,70,0.98,142,0.8624329037454717
325,0.05,0.02,30,0.8,56,0.8416646334813038
326,0.05,0.02,30,0.85,68,0.8239812329217002
327,0.05,0.02,30,0.9,94,0.8510677563507698
328,0.05,0.02,30,0.95,127,0.8312912903429815
329,0.05,0.02,30,0.98,183,0.8514176731915717
330,0.05,0.02,40,0.8,50,0.8409288901071242
331,0.05,0.02,40,0.85,62,0.8332910089286119
332,0.05,0.02,40,0.9,87,0.8472520525982088
333,0.05,0.02,40,0.95,119,0.8396939459572357
334,0.05,0.02,40,0.98,172,0.8480661282854214
335,0.05,0.02,50,0.8,49,0.8115148623280615
336,0.05,0.02,50,0.85,60,0.8503744959650646
337,0.05,0.02,50,0.9,83,0.8396060819893796
338,0.05,0.02,50,0.95,112,0.8438958242749293
339,0.05,0.02,50,0.98,161,0.8466963506864449
340,0.05,0.02,60,0.8,46,0.8196571346142996
341,0.05,0.02,60,0.85,57,0.8465284439722792
342,0.05,0.02,60,0.9,79,0.84531210019707
343,0.05,0.02,60,0.95,105,0.8370262094970322
344,0.05,0.02,60,0.98,154,0.8615502560983831
345,0.05,0.02,70,0.8,42,0.8357098668092009
346,0.05,0.02,70,0.85,51,0.8512875657989533
347,0.05,0.02,70,0.9,73,0.8454048467763929
348,0.05,0.02,70,0.95,97,0.8264193260403901
349,0.05,0.02,70,0.98,138,0.8618279832049301
350,0.05,0.05,30,0.8,51,0.8398367841728138
351,0.05,0.05,30,0.85,61,0.8455917248273253
352,0.05,0.05,30,0.9,87,0.8434564363707399
353,0.05,0.05,30,0.95,118,0.8378450446384781
354,0.05,0.05,30,0.98,174,0.8547082243663124
355,0.05,0.05,40,0.8,48,0.8401488394574802
356,0.05,0.05,40,0.85,58,0.8447806128350208
357,0.05,0.05,40,0.9,82,0.8499505703599203
358,0.05,0.05,40,0.95,113,0.8442768219740173
359,0.05,0.05,40,0.98,165,0.8601196970146546
360,0.05,0.05,50,0.8,46,0.8430075301778673
361,0.05,0.05,50,0.85,56,0.836136729428407
362,0.05,0.05,50,0.9,79,0.8511674631193238
363,0.05,0.05,50,0.95,105,0.8448864953042469
364,0.05,0.05,50,0.98,153,0.8626414949770179
365,0.05,0.05,60,0.8,42,0.84083872503768
366,0.05,0.05,60,0.85,52,0.8381435493602624
367,0.05,0.05,60,0.9,74,0.8442073611003469
368,0.05,0.05,60,0.95,100,0.841260023700006
369,0.05,0.05,60,0.98,143,0.8591483458860025
370,0.05,0.05,70,0.8,38,0.8465518201128116
371,0.05,0.05,70,0.85,49,0.8359188617918403
372,0.05,0.05,70,0.9,70,0.8452036885000946
373,0.05,0.05,70,0.95,90,0.8448451081800641
374,0.05,0.05,70,0.98,130,0.8632397600571388
375,0.08,0.001,30,0.8,49,0.8320082279205234
376,0.08,0.001,30,0.85,60,0.8475268219194604
377,0.08,0.001,30,0.9,82,0.8516649983839624
378,0.08,0.001,30,0.95,108,0.8456579575695751
379,0.08,0.001,30,0.98,153,0.8585332093281753
380,0.08,0.001,40,0.8,40,0.8392561943943339
381,0.08,0.001,40,0.85,51,0.8337707310422692
382,0.08,0.001,40,0.9,72,0.8512923719241712
383,0.08,0.001,40,0.95,93,0.8397305671809365
