smiles,source_columns
COc1cc(ccc1OP(=O)(Nc1ccc(cc1)Cl)[Rb])/C=C/1\CC/C(=C\c2ccc(c(c2)O[Fr])O)/C1=O,LOI.csv:smiles1
COc1cc(ccc1OP(=O)(Nc1ccccc1)[Rb])/C=C/1\CC(=O)C/C(=C\c2ccc(c(c2)OC)O[Fr])/C1,LOI.csv:smiles1
COc1cc(ccc1OP(=O)(Nc1ccccc1)[Rb])/C=C/1\CC/C(=C/c2ccc(c(c2)OC)O[Fr])/CC(=O)C1,LOI.csv:smiles1
COc1cc(ccc1OP(=O)(Nc1ccccc1)[Rb])/C=C/1\CC/C(=C\c2ccc(c(c2)OC)O[Fr])/C1=O,LOI.csv:smiles1
COc1cc(ccc1OP(=O)(c1ccccc1)[Fr])/N=C/c1ccc(cc1)O[Rb],LOI.csv:smiles1
COc1ccc(cc1)N(c1ccc(cc1)NC(=O)c1ccc(cc1)Nc1nc(Nc2ccc(cc2)C(=O)[Rb])nc(n1)N1CCOCC1)c1ccc(cc1)N[Fr],T5.csv:smiles1;Tg.csv:smiles1
COc1ccc(cc1)NP(=O)(Oc1ccc(cc1OC)/C=C/1\CC(=O)C/C(=C\c2ccc(c(c2)OC)O[Fr])/C1)[Rb],LOI.csv:smiles1
COc1ccc(cc1)NP(=O)(Oc1ccc(cc1OC)/C=C/1\CC(=O)C\C1=C/c1ccc(c(c1)OC)O[Fr])[Rb],LOI.csv:smiles1
COc1ccc(cc1)NP(=O)(Oc1ccc(cc1OC)/C=C/1\CC/C(=C/c2ccc(c(c2)OC)O[Fr])/CC(=O)C1)[Rb],LOI.csv:smiles1
COc1ccc(cc1)NP(=O)(Oc1ccc(cc1OC)/C=C/C(=O)/C=C/c1ccc(c(c1)OC)O[Fr])[Rb],LOI.csv:smiles1
COc1ccc(cc1)OP(=O)(Oc1c(Br)cc(cc1Br)C(C(F)(F)F)(C(F)(F)F)c1cc(Br)c(c(c1)Br)O[Rb])[Fr],LOI.csv:smiles1
COc1ccc(cc1)OP(=O)(Oc1c(C)cc(cc1C)S(=O)(=O)c1cc(C)c(c(c1)C)O[Rb])[Fr],LOI.csv:smiles1
COc1ccc(cc1)OP(=O)(Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)O[Rb])[Fr],LOI.csv:smiles1;T5.csv:smiles1;Tg.csv:smiles1
COc1ccc(cc1)OP(=O)(Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)O[Fr])[Rb],LOI.csv:smiles1
COc1ccc(cc1)P(=O)(c1ccc(c(c1)C(F)(F)F)[Rb])c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)C(c1ccc(cc1)O[Fr])(C)C,T5.csv:smiles1;Tg.csv:smiles1
COc1ccc(cc1)P(=O)(c1ccc(c(c1)C(F)(F)F)[Rb])c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)c1ccc(cc1)O[Fr],T5.csv:smiles1;Tg.csv:smiles1
CP(OCNC(C([Fr])C[Rb])=O)(OCP1(OC2=C(C=CC=C2)C3=CC=CC=C31)=O)=O,LOI.csv:smiles2
C[Si](O[Si](C)(C)CCCN[Rb])(C)CCCN[Fr],LOI.csv:smiles2
Cc1cc(ccc1Oc1ccc(cc1)C=Nc1ccc(cc1)Cc1ccc(cc1)N)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=Nc1ccc(cc1)Cc1ccc(cc1)N=Cc1ccc(cc1)Oc1ccc(cc1C)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=O,T5.csv:smiles1;Tg.csv:smiles1
