smiles,umap_1,umap_2,selected,random_state,n_neighbors,min_dist,metric,initialization,scaling
CC(C1=CC=CC=C1)C1=CC=CC=C1,4.1023498,7.284506,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OC1=CC=C(CC2=CC=CC=C2)C=C1,3.7961535,7.472372,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC(C=O)=CC=C1,-20.147326,-4.375699,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=CC(C=O)=C1,-19.970055,-4.19435,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCCC,6.578221,5.633641,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CPO,15.413851,13.262071,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C[PH](=O)O,15.302178,12.996527,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOCC1=CC=CC=C1,6.4033637,2.4095006,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)(C)C,2.3588772,7.7035384,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OCCO,13.312594,3.8617933,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C(OC2=CC=CC=C2)C=C1,4.979372,8.758727,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNCC1=CC(C)=CC=C1,-0.13869084,14.787877,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNCC1=CC=CC(C)=C1,-0.32546353,14.813766,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COCCO,13.0611725,3.9572532,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(CN)=CC=C1,8.681738,9.077264,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(CN)=C1,8.85076,8.949415,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC(=O)C1=CC=CC=C1,6.0238423,2.6986415,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC(=O)NC,0.08002326,4.3364487,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC(N)=O,-0.02975002,4.691301,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C(PC2=CC=CC=C2)C=C1,7.7294908,-14.35133,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)(C1=CC=CC=C1)C1=CC=CC=C1,4.089522,7.7886,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=C(C=O)C=CC=C1,-2.1164508,8.885738,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=CC=C1C=O,-1.9976829,8.809912,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OC1=CC=C(CC2=CC=C(O)C=C2)C=C1,2.6420465,7.8559074,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)C1=CC=C(O)C=C1,4.645551,6.732404,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COPC,-12.372461,-1.4721195,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=COCCO,13.252991,4.2184005,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(=O)C1=CC(C)=CC=C1,-0.42174917,15.421552,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(=O)C1=CC=CC(C)=C1,-0.60338783,15.392331,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CO[PH](C)=O,-12.253626,-1.4783902,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(C(N)=O)=CC=C1,7.0701947,10.477633,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(C(N)=O)=C1,6.9517136,10.580604,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C1=CC=CC=C1)C1=CC=C(O)C=C1,4.367685,6.9580197,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCN,5.8874507,6.2796297,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=C(C=O)C=C1,-3.8920114,12.093427,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOCCO,12.98258,3.941839,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1CN,8.807004,8.865459,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1C(N)=O,-0.7288289,15.313747,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NCC1=CC=CC=C1C=O,-0.70580244,15.33414,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC2=C(C=C1)CNC2,8.899136,8.779442,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C2CNCC2=C1,8.835963,8.917311,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C1NCC2=C1C=CC=C2,-0.9812521,15.446707,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C1NCC2=CC=CC=C12,-0.63875383,15.618478,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN(C)CC1=CC=CC=C1,-0.37551776,-2.9858615,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(=O)OCCO,13.101875,4.0291815,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC(=O)C1=CC=CC=C1C=O,6.802845,10.69518,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C1NC(=O)C2=C1C=CC=C2,6.749376,10.632722,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C1NC(=O)C2=CC=CC=C12,7.00376,10.504725,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,3.282006,6.972773,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCO,4.4905343,4.6158743,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=[PH](C1=CC=CC=C1)C1=CC=CC=C1,7.697547,-14.326888,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(O)C=CC=C1,29.336761,3.802356,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1O,29.452028,3.8002298,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OPC1=CC=CC=C1,-12.118197,-1.0603364,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(CNC2=CC=CC=C2)=CC=C1,16.659481,-8.500462,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
