combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
146,0.03,0.001,70,0.85,87,0.6291769299630937
147,0.03,0.001,70,0.9,115,0.6518264943649916
148,0.03,0.001,70,0.95,167,0.6757993751184561
149,0.03,0.001,70,0.98,241,0.6667342030912404
150,0.03,0.005,30,0.8,116,0.6068367370346494
151,0.03,0.005,30,0.85,159,0.6314688096493704
152,0.03,0.005,30,0.9,213,0.6313632395934887
153,0.03,0.005,30,0.95,292,0.6692599824234874
154,0.03,0.005,30,0.98,439,0.6729428896682524
155,0.03,0.005,40,0.8,114,0.6122764286277959
156,0.03,0.005,40,0.85,151,0.6347875108815912
157,0.03,0.005,40,0.9,201,0.6422999680991289
158,0.03,0.005,40,0.95,277,0.6574848720997919
159,0.03,0.005,40,0.98,415,0.662726805582319
160,0.03,0.005,50,0.8,92,0.6020325015918815
161,0.03,0.005,50,0.85,129,0.6264914331248752
162,0.03,0.005,50,0.9,169,0.6358456820581939
163,0.03,0.005,50,0.95,236,0.6834859809207122
164,0.03,0.005,50,0.98,358,0.6774767750368105
165,0.03,0.005,60,0.8,80,0.5908266466905191
166,0.03,0.005,60,0.85,108,0.6363507862609005
167,0.03,0.005,60,0.9,146,0.6547829366978556
168,0.03,0.005,60,0.95,205,0.6902013526768176
169,0.03,0.005,60,0.98,297,0.6699530611527882
170,0.03,0.005,70,0.8,68,0.5736995030142663
171,0.03,0.005,70,0.85,95,0.6542503892578859
172,0.03,0.005,70,0.9,123,0.6605490758685129
173,0.03,0.005,70,0.95,173,0.6830555135092935
174,0.03,0.005,70,0.98,249,0.6711732236778067
175,0.03,0.01,30,0.8,118,0.610347844467768
176,0.03,0.01,30,0.85,159,0.6241798251126994
177,0.03,0.01,30,0.9,216,0.6429743844747867
178,0.03,0.01,30,0.95,296,0.6746184190677869
179,0.03,0.01,30,0.98,442,0.6582049181014875
180,0.03,0.01,40,0.8,111,0.6140500992469413
181,0.03,0.01,40,0.85,149,0.6294955208829933
182,0.03,0.01,40,0.9,200,0.65957317578148
183,0.03,0.01,40,0.95,274,0.6774613490744257
184,0.03,0.01,40,0.98,416,0.6748444614095537
185,0.03,0.01,50,0.8,92,0.6060540047639585
186,0.03,0.01,50,0.85,128,0.6320976515013381
187,0.03,0.01,50,0.9,169,0.6313788484585701
188,0.03,0.01,50,0.95,232,0.6785135443834239
189,0.03,0.01,50,0.98,361,0.6728417244845981
190,0.03,0.01,60,0.8,80,0.6018784515283897
191,0.03,0.01,60,0.85,109,0.6336816799892754
192,0.03,0.01,60,0.9,147,0.6685115961515858
193,0.03,0.01,60,0.95,206,0.6772498093631648
194,0.03,0.01,60,0.98,299,0.6622876001100236
195,0.03,0.01,70,0.8,62,0.5759098843109908
196,0.03,0.01,70,0.85,90,0.6125064460777735
197,0.03,0.01,70,0.9,118,0.6549579993967626
198,0.03,0.01,70,0.95,168,0.6729274944359792
199,0.03,0.01,70,0.98,248,0.6597021274925329
200,0.03,0.02,30,0.8,114,0.6045286885922624
201,0.03,0.02,30,0.85,155,0.6263853605277779
