R2,RMSE,MAE,task,model,fold,best_score_inner_cv,selection_method,search_error
0.7133205713714582,4.584224375132949,3.0914931457956816,LOI,LightGBM,3,0.6152656390969305,random_search,
0.7815475637397195,4.579954295753115,2.8911249973939963,LOI,LightGBM,4,0.6202916205991101,random_search,
0.7138934839377711,4.458020432227246,3.051502917701455,LOI,LightGBM,5,0.6327658459636054,random_search,
0.6886471949959944,5.268530911846868,3.377320562997105,LOI,GradientBoosting,1,0.7288220383309301,random_search,
0.6910052363883437,5.012805036928529,3.244815569730883,LOI,GradientBoosting,2,0.7118822581955984,random_search,
0.739212223560447,4.3723127231265195,2.9303430972015385,LOI,GradientBoosting,3,0.757171374436162,random_search,
0.8126801190783682,4.2410621264008785,2.7359467281085843,LOI,GradientBoosting,4,0.718178230316996,random_search,
0.7857455274667708,3.8578303766836477,2.9327948844121052,LOI,GradientBoosting,5,0.7084236897858407,random_search,
0.728934989659608,4.9158641420358675,3.0584865812146376,LOI,RandomForest,1,0.711243014106684,random_search,
0.709332018428124,4.861875701503135,3.0558859784360397,LOI,RandomForest,2,0.6972425660166945,random_search,
0.7285665954522009,4.460661296167685,2.84062278084138,LOI,RandomForest,3,0.7410416451080204,random_search,
0.7747416292930813,4.650751846262551,3.044368456786596,LOI,RandomForest,4,0.6817984237438361,random_search,
0.8172664224621757,3.562766487801188,2.645395588595565,LOI,RandomForest,5,0.6813800644137462,random_search,
0.7596238969848677,4.629230290965118,2.6518182923976616,LOI,ExtraTrees,1,0.7435818557056395,random_search,
0.7499963968137529,4.50898082139087,2.716123651475373,LOI,ExtraTrees,2,0.711355177172996,random_search,
0.7747327724236828,4.063652925479199,2.561003035087723,LOI,ExtraTrees,3,0.7555499593797488,random_search,
0.8031084560398851,4.348067026003912,2.7364480776014157,LOI,ExtraTrees,4,0.717734232340194,random_search,
0.8453707401809718,3.277359017370977,2.3078758564289914,LOI,ExtraTrees,5,0.6893411191263149,random_search,
0.74922086025216,4.728341606723498,2.7365472930105113,LOI,XGBoost,1,0.7213899026955185,random_search,
0.7571127090718521,4.44434382422483,2.697158116792378,LOI,XGBoost,2,0.7143957091764127,random_search,
0.7787722037065608,4.027053947374495,2.6062049163015266,LOI,XGBoost,3,0.7457564108359183,random_search,
0.8054412039515254,4.322232583153082,2.793168538815131,LOI,XGBoost,4,0.6922000981378362,random_search,
0.8017484773627397,3.710961476125784,2.718719409760974,LOI,XGBoost,5,0.6889683405476402,random_search,
