C,O,CC,C1=CC=CC=C1,C=O,CC1=CC=CC=C1,CO,CC=O,CCC,N,COC,CCN,CCNC,O=P,NC=O,CCO,CCOC,COC=O,NCC1=CC=CC=C1,CCC=O,CP,CCCC,CCNCC,CCOCC,CC1=CC=CC(C)=C1,O=PC1=CC=CC=C1,OCC1=CC=CC=C1,CPC,CC1=CC=CC=C1C,CPC1=CC=CC=C1,COC1=CC=C(C)C=C1,CC1=CC(C=O)=CC=C1,CCCNC,CCCC=O,CC1=CC=CC=C1C=O,O=CC1=CC=CC(C=O)=C1,CCCCCC,CPO,OCCO,CNCC1=CC(C)=CC=C1,O=CC1=CC=CC=C1C=O,O=CC1=CC=C(C=O)C=C1,CC1=CC=CC=C1CN,O=C1NCC2=C1C=CC=C2,CN(C)CC1=CC=CC=C1,CC1=CC(CNC2=CC=CC=C2)=CC=C1,COPC1=CC=CC=C1,C1=CC=C(C2=CC=CC=C2)C=C1,CCCNCC,CCOC1=CC=CC=C1,CPOC1=CC=CC=C1,CC1=CC=C(CN)C=C1,CCCCCNC,CNC1=CC(C)=CC=C1,CC1=CC=C(C)C(C)=C1,CC1=CC(C=O)=C(C)C=C1,CC1=CC2=C(C=C1)C(=O)NC2,CC1=CC=C(CO)C=C1,CC1=CC2=C(C=C1)CN(C)C2,CC1=CC=C2C(=O)N(C)CC2=C1,COC(=O)C1=CC=C(C)C=C1,CCNC(=O)CC,CCOCC1=CC=C(C)C=C1,CCCCCCNC(C)=O,CC1=CC(C=O)=CC(NC=O)=C1,CC(C=O)CC=O,CCCCNCCC,O=CC1=CC(C(=O)O)=CC=C1,CCOC(=O)C1=CC(C)=CC=C1,CC1=CC=C(COCCO)C=C1,CC1=CC=CC(NCC2=CC=CC=C2)=C1,CCCCCNCCCC,CCOC(=O)C1=CC(C=O)=CC=C1,CCCP,O=CC1=CC(C(=O)OCCO)=CC=C1,CCCCCCNC(=O)CC,O=CCCPC1=CC=CC=C1,C1=NC=NC=N1,CC1=CC=C(CNC2=CC(C)=CC=C2)C=C1,CCCP(=O)(OC)C1=CC=CC=C1,COP(=O)(CCC=O)C1=CC=CC=C1,[NH4+],CCCCCCNC(=O)CCCC,*P
5.1,2.075,3.05,0.0,1.0,0.0,2.05,1.0,3.0,0.0,1.0,0.0,0.0,0.025,0.0,1.05,1.0,1.0,0.0,2.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2,2.15,3.1,0.0,1.0,0.0,2.1,1.0,3.0,0.0,1.0,0.0,0.0,0.05,0.0,1.1,1.0,1.0,0.0,2.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.727273,4.0,4.181818,1.0909091,2.0,2.1818182,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09090909,0.0,1.0,0.0,0.09090909,0.0,0.0,0.09090909,0.0,0.0,0.18181819,0.0,0.0,0.0,0.0,0.0,0.09090909,0.90909094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909,0.09090909,0.0,0.90909094,0.0,0.0,0.90909094,0.0,0.90909094,0.0,0.0,0.0,0.0,0.0,0.09090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.727273,4.181818,4.181818,1.0909091,2.1818182,2.1818182,3.0,2.1818182,1.0,0.09090909,1.0,0.18181819,0.36363637,0.0,0.18181819,3.0,2.0,1.0,0.18181819,0.0,0.0,0.0,0.09090909,1.0,0.09090909,0.0,1.0,0.0,0.09090909,0.0,0.0,0.18181819,0.0,0.0,0.18181819,0.09090909,0.0,0.0,0.0,0.0,0.09090909,0.90909094,0.09090909,0.18181819,0.09090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363637,0.0,0.0,0.0,0.90909094,0.0,0.0,0.90909094,0.0,0.90909094,0.0,0.36363637,0.0,0.0,0.09090909,0.09090909,0.0,0.36363637,0.0,0.09090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.454545,4.181818,4.3636365,1.1818181,2.1818182,2.3636363,3.0,2.1818182,1.0,0.09090909,1.0,0.18181819,0.36363637,0.0,0.18181819,3.0,2.0,1.0,0.18181819,0.0,0.0,0.0,0.09090909,1.0,0.18181819,0.0,1.0,0.0,0.09090909,0.0,0.0,0.27272728,0.0,0.0,0.18181819,0.09090909,0.0,0.0,0.0,0.18181819,0.09090909,0.90909094,0.09090909,0.18181819,0.09090909,0.09090909,0.0,0.0,0.0,0.0,0.0,0.09090909,0.0,0.36363637,0.09090909,0.09090909,0.09090909,0.90909094,0.09090909,0.09090909,0.90909094,0.0,0.90909094,0.0,0.36363637,0.0,0.0,0.09090909,0.09090909,0.0,0.36363637,0.0,0.09090909,0.0,0.0,0.0,0.0,0.0,0.18181819,0.0,0.0,0.0,0.0,0.0
10.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
