DOI,type,polymer_family,PolymerName,co_smiles,smiles1,smiles2,co_content1,wt1,mol1,co_smiles1,co_content2,wt2,mol2,mix_content1,mix_smiles1,mix_wt1,mix_mol1,mix_content2,mix_smiles2,mix_wt2,mix_mol2,mix_content3,mix_smiles3,mix_wt3,mix_mol3,mix_content4,mix_smiles4,mix_wt4,mix_mol4,UL-94
10.11777/j.issn1000-3304.2020.20125,copolymer,,P-FPH95Si5,,[Fr]C(C1=CC=C(C=C1)OC2=CC=C(C=C2)C3(C4=CC=C(C=C4)OC5=CC=C(C=C5)C(NCCCCCCN[Rb])=O)C6=CC=CC=C6C7=C3C=CC=C7)=O,[Fr]C(C1=CC=C(OC2=CC=C(C3(C4=CC=CC=C4C5=C3C=CC=C5)C6=CC=C(OC7=CC=C(C(NCCC[Si](C)(C)O[Si](C)(CCCN[Rb])C)=O)C=C7)C=C6)C=C2)C=C1)=O,P-EPH,,95,,Si,,5,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.polymer.2014.03.044,copolymer,,P(ET-co-P)60,O=C(O[Rb])C1=CC=C(C(OCCOC(C2=C(C(OCCO[Fr])=O)C=C(C#CC3=CC=CC=C3)C=C2)=O)=O)C=C1,O=C(O[Rb])C1=CC=C(C(OCCO[Fr])=O)C=C1,O=C([Rb])C1=C(C(OCCO[Fr])=O)C=C(C#CC2=CC=CC=C2)C=C1,PET,40,,O=C(OCCO)C1=CC=C(C=C1)C(OCCO)=O,PEPE,60,,,,,,,,,,,,,,,,,,non-V-0
10.1039/C5RA11390C,copolymer,,PBS,O=C(CCC(OCCCCO[Rb])=O)O[Fr],O=C(CCC([Rb])=O)O[Fr],[Rb]OCCCCO[Fr],SA,,50,OC(CCC(O)=O)=O,BD,,50,,,,,,,,,,,,,,,,,non-V-0
10.1039/c7ra13228j,copolymer,,PA6-co-DDP4,[Fr]C(CCCCCNC(C(CP1(OC2=CC=CC=C2C3=CC=CC=C31)=O)CC(NCCCCCCCCCCN[Rb])=O)=O)=O,[Fr]C(CCCCCN[Rb])=O,O=C(NCCCCCCCCCCN[Rb])CC(C([Fr])=O)CP1(OC2=CC=CC=C2C3=CC=CC=C31)=O,PA6,96,,NCCCCCC(O)=O,DDPsalt,4,,,,,,,,,,,,,,,,,,V-0
10.1039/c7ra13228j,copolymer,,PA6-co-DDP5,[Fr]C(CCCCCNC(C(CP1(OC2=CC=CC=C2C3=CC=CC=C31)=O)CC(NCCCCCCCCCCN[Rb])=O)=O)=O,[Fr]C(CCCCCN[Rb])=O,O=C(NCCCCCCCCCCN[Rb])CC(C([Fr])=O)CP1(OC2=CC=CC=C2C3=CC=CC=C31)=O,PA6,95,,NCCCCCC(O)=O,DDPsalt,5,,,,,,,,,,,,,,,,,,V-0
10.1016/j.polymdegradstab.2019.03.004,copolymer,,PA6-co-DPO,[H]N(C(CC(C([Fr])=O)CP(C1=CC=CC=C1)(C2=CC=CC=C2)=O)=O)CCCCCCCCCCNC(CCCCCN[Rb])=O,[Fr]C(CCCCCN[Rb])=O,[H]N(C(CC(C([Fr])=O)CP(C1=CC=CC=C1)(C2=CC=CC=C2)=O)=O)CCCCCCCCCCN[Rb],PA6,96,,NCCCCCC(O)=O,DPDPO-DMDAsalt,4,,,,,,,,,,,,,,,,,,V-0
10.1016/j.polymdegradstab.2019.03.004,copolymer,,PA6-co-DPO,[H]N(C(CC(C([Fr])=O)CP(C1=CC=CC=C1)(C2=CC=CC=C2)=O)=O)CCCCCCCCCCNC(CCCCCN[Rb])=O,[Fr]C(CCCCCN[Rb])=O,[H]N(C(CC(C([Fr])=O)CP(C1=CC=CC=C1)(C2=CC=CC=C2)=O)=O)CCCCCCCCCCN[Rb],PA6,95,,NCCCCCC(O)=O,DPDPO-DMDAsalt,5,,,,,,,,,,,,,,,,,,V-0
10.1002/app.48687,copolymer,,PA66-co-CEPPA,O=P(C1=CC=CC=C1)(CCC(NCCCCCCNC(CCCCC([Fr])=O)=O)=O)NCCCCCCNC(CCCCC([Rb])=O)=O,[Rb]NCCCCCCNC(CCCCC([Fr])=O)=O,O=P([Fr])(C1=CC=CC=C1)CCC([Rb])=O,PA66,98,,NCCCCCCNC(CCCCC(O)=O)=O,CEPPA,2,,,,,,,,,,,,,,,,,,V-0
10.1002/app.48687,copolymer,,PA66-co-CEPPA,O=P(C1=CC=CC=C1)(CCC(NCCCCCCNC(CCCCC([Fr])=O)=O)=O)NCCCCCCNC(CCCCC([Rb])=O)=O,[Rb]NCCCCCCNC(CCCCC([Fr])=O)=O,O=P([Fr])(C1=CC=CC=C1)CCC([Rb])=O,PA66,96,,NCCCCCCNC(CCCCC(O)=O)=O,CEPPA,4,,,,,,,,,,,,,,,,,,V-0
10.1002/app.48687,copolymer,,PA66-co-CEPPA,O=P(C1=CC=CC=C1)(CCC(NCCCCCCNC(CCCCC([Fr])=O)=O)=O)NCCCCCCNC(CCCCC([Rb])=O)=O,[Rb]NCCCCCCNC(CCCCC([Fr])=O)=O,O=P([Fr])(C1=CC=CC=C1)CCC([Rb])=O,PA66,94,,NCCCCCCNC(CCCCC(O)=O)=O,CEPPA,6,,,,,,,,,,,,,,,,,,V-0
