combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
92,0.01,0.02,60,0.9,70,0.8232761123226373
93,0.01,0.02,60,0.95,102,0.8348615083972923
94,0.01,0.02,60,0.98,142,0.8378656999631822
95,0.01,0.02,70,0.8,32,0.8159485718938514
96,0.01,0.02,70,0.85,41,0.825265336033306
97,0.01,0.02,70,0.9,56,0.8295388569486531
98,0.01,0.02,70,0.95,81,0.8396253433968676
99,0.01,0.02,70,0.98,114,0.8408364368857798
100,0.01,0.05,30,0.8,37,0.7955011470163414
101,0.01,0.05,30,0.85,51,0.8138165906709338
102,0.01,0.05,30,0.9,63,0.8225537398397009
103,0.01,0.05,30,0.95,93,0.8335643886827722
104,0.01,0.05,30,0.98,134,0.8409026381375853
105,0.01,0.05,40,0.8,37,0.7955011470163414
106,0.01,0.05,40,0.85,51,0.8140996275737065
107,0.01,0.05,40,0.9,62,0.819842143646096
108,0.01,0.05,40,0.95,92,0.8346112181030332
109,0.01,0.05,40,0.98,131,0.8407192571299102
110,0.01,0.05,50,0.8,32,0.794801077628933
111,0.01,0.05,50,0.85,46,0.8115211419184911
112,0.01,0.05,50,0.9,56,0.8212621073947153
113,0.01,0.05,50,0.95,82,0.8390672349825824
114,0.01,0.05,50,0.98,115,0.8404601164009176
115,0.01,0.05,60,0.8,30,0.7936953043133478
116,0.01,0.05,60,0.85,42,0.8121785522104845
117,0.01,0.05,60,0.9,52,0.8189061216686963
118,0.01,0.05,60,0.95,77,0.8382531719958084
119,0.01,0.05,60,0.98,104,0.8362787285111445
120,0.01,0.05,70,0.8,29,0.7845296170947916
121,0.01,0.05,70,0.85,38,0.8023527110651674
122,0.01,0.05,70,0.9,49,0.8166705018550513
123,0.01,0.05,70,0.95,68,0.8330117675380215
124,0.01,0.05,70,0.98,89,0.8345338653034636
125,0.03,0.001,30,0.8,71,0.8440806522416382
126,0.03,0.001,30,0.85,85,0.8409779553371661
127,0.03,0.001,30,0.9,105,0.8323987864283893
128,0.03,0.001,30,0.95,163,0.8401986745588944
129,0.03,0.001,30,0.98,229,0.8424964244243677
130,0.03,0.001,40,0.8,68,0.8482477024271432
131,0.03,0.001,40,0.85,79,0.8459574754311932
