task,model,status,error_message,n_samples,n_features,target_column,task_type,elapsed_seconds,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,Precision macro_mean,Precision macro_std,Recall macro_mean,Recall macro_std,F1 macro_mean,F1 macro_std,ROC-AUC_mean,ROC-AUC_std
LOI,XGBoost,success,,948,149,LOI,regression,50.50497198104858,0.7784590908689676,0.0254021167166003,4.246586687520337,0.391154374862881,2.710359654936104,0.0682559142626769,,,,,,,,,,,,
T5,MLP,success,,584,582,T5,regression,135.12642312049866,0.488986226642389,0.1164061703582691,54.64193892351197,10.805974520361344,32.317606439738576,7.313240698389729,,,,,,,,,,,,
T5,SVR/SVM,success,,584,582,T5,regression,7.33091402053833,0.5782692445548552,0.0856942518806892,49.64940227551701,9.34439148456556,29.37423076102592,6.010833391992625,,,,,,,,,,,,
T5,Ridge,success,,584,582,T5,regression,2.418077230453491,0.5292270658231685,0.0836867362416632,52.63688223090473,10.260213752953714,33.71146914444087,5.50490681867953,,,,,,,,,,,,
T5,Lasso,success,,584,582,T5,regression,101.4345223903656,0.4759028310068268,0.1719075404805495,55.41836138435193,14.644012211163842,35.5885181667253,7.471017786205801,,,,,,,,,,,,
T5,KNN,success,,584,582,T5,regression,5.2805705070495605,0.5778665912375125,0.0933011355038044,49.33914362424228,7.506423541007937,27.62607114035098,4.785188565349805,,,,,,,,,,,,
T5,DecisionTree,success,,584,582,T5,regression,3.81746244430542,0.4094346070878091,0.195660061796274,57.30403364081519,7.695659666477016,34.10184392175071,5.277128165322986,,,,,,,,,,,,
T5,LightGBM,success,,584,582,T5,regression,18.90404677391052,0.6645910068760926,0.0594265505188143,44.22723679855687,7.398405644402682,27.04825402931063,4.548280804302396,,,,,,,,,,,,
T5,GradientBoosting,success,,584,582,T5,regression,150.0589153766632,0.6858318855225531,0.0718036858200601,42.7462604815488,7.706844087525358,25.87826488456031,3.4497402151875725,,,,,,,,,,,,
T5,RandomForest,success,,584,582,T5,regression,214.9114716053009,0.6727598265403145,0.048274936890288,43.85731610587719,7.80963711622755,25.994535259276915,4.533632666961238,,,,,,,,,,,,
T5,ExtraTrees,success,,584,582,T5,regression,181.97360920906067,0.6871856059080008,0.038665830489772,42.73350640761304,6.213528488048382,24.417480199048992,5.350384503753846,,,,,,,,,,,,
T5,XGBoost,success,,584,582,T5,regression,66.7481586933136,0.7069245863320959,0.0765717670736561,41.20034111052973,7.696148345989449,24.893320440285656,4.3857084493725615,,,,,,,,,,,,
Tg,MLP,success,,518,156,Tg,regression,86.09626770019531,0.7759775030896272,0.0823403885286558,35.366460295292576,8.574516469729735,20.06679320828868,2.7973786710330364,,,,,,,,,,,,
Tg,SVR/SVM,success,,518,156,Tg,regression,2.894313097000122,0.8201968169374272,0.0674571086590088,31.485619074161484,7.851281332160815,17.54098628385859,3.874431318715619,,,,,,,,,,,,
Tg,Ridge,success,,518,156,Tg,regression,0.9773671627044678,0.790953541761363,0.0390574381426285,34.337999954994764,5.683273411673354,21.65076195847906,3.099284049947429,,,,,,,,,,,,
Tg,Lasso,success,,518,156,Tg,regression,25.941530466079712,0.7830841872986524,0.0327270763960251,34.88854421437069,4.490320865594834,23.3783776203292,3.773562425130881,,,,,,,,,,,,
Tg,KNN,success,,518,156,Tg,regression,1.9596104621887207,0.8071418088406951,0.1242973450706201,31.70140110576861,11.531965809412323,15.796149290627843,4.450220171012384,,,,,,,,,,,,
Tg,DecisionTree,success,,518,156,Tg,regression,1.5971269607543943,0.7311480445813305,0.10008788463715,38.14028138230079,8.208202371436037,20.69144223826728,4.094576785688036,,,,,,,,,,,,
Tg,LightGBM,success,,518,156,Tg,regression,11.370063304901125,0.8817938694300473,0.0335912756736322,25.654613703988424,4.802225640939021,15.186782538261422,1.67851838350081,,,,,,,,,,,,
Tg,GradientBoosting,success,,518,156,Tg,regression,76.16998291015625,0.8741418708476075,0.0524498275746967,26.280997217986798,6.533597284993999,15.373047511810508,1.84698218265856,,,,,,,,,,,,
Tg,RandomForest,success,,518,156,Tg,regression,118.303946018219,0.8591150900820379,0.0558246812527837,27.77054542747685,6.659191056159874,16.694620658131182,2.9330399570734875,,,,,,,,,,,,
Tg,ExtraTrees,success,,518,156,Tg,regression,86.90456104278564,0.881680211847588,0.056222994308164,25.336988603934664,6.870406381037341,13.92918252474305,2.311485588802053,,,,,,,,,,,,
Tg,XGBoost,success,,518,156,Tg,regression,33.48811721801758,0.8665596960678448,0.0534417240404384,26.950257989889145,5.953919883008297,15.413500101726182,2.3214392056756594,,,,,,,,,,,,
UL94,MLP,success,,495,84,UL-94,classification,58.31010127067566,,,,,,,0.7535353535353536,0.0443755204777551,0.6964952278455917,0.0755007597625025,0.7242203059295296,0.0469586714117076,0.6964952278455917,0.0755007597625025,0.695049825277281,0.0806171256935549,0.7837893667336939,0.059079181614486
UL94,SVR/SVM,success,,495,84,UL-94,classification,5.234842538833618,,,,,,,0.7575757575757576,0.0484427426597244,0.7227249957517914,0.0431252113189873,0.7301304465317505,0.0519408454754653,0.7227249957517914,0.0431252113189873,0.7213740930044775,0.0479956326932528,0.8163428587612225,0.0581541959324809
UL94,Ridge,success,,495,84,UL-94,classification,1.1274187564849854,,,,,,,0.6989898989898989,0.0475928039975343,0.6195549470389986,0.0538606234431736,0.6487462600565965,0.0716549206965729,0.6195549470389986,0.0538606234431736,0.6225900149473235,0.063082164974026,0.7404588773400549,0.0347383443845508
UL94,Lasso,success,,495,84,UL-94,classification,17.33712863922119,,,,,,,0.7232323232323232,0.0633229414895251,0.6622547544535389,0.0645491523024226,0.6857398627307095,0.0854040797910459,0.6622547544535389,0.0645491523024226,0.6675164552796131,0.0718881740651699,0.7394266511371038,0.0455710608305301
UL94,KNN,success,,495,84,UL-94,classification,2.5103414058685303,,,,,,,0.7858585858585858,0.0373873848955994,0.7231846873318417,0.0503105556320355,0.764249811576422,0.046869650676106,0.7231846873318417,0.0503105556320355,0.7347404776060087,0.0519609153322575,0.8292274986547339,0.0348044184127836
UL94,DecisionTree,success,,495,84,UL-94,classification,2.3240671157836914,,,,,,,0.7515151515151516,0.0324177909815782,0.704429200062307,0.0416989644643049,0.7175441732034025,0.0403435613566393,0.704429200062307,0.0416989644643049,0.707439530757877,0.0386478947139103,0.7688655866776176,0.0564587859762426
UL94,LightGBM,success,,495,84,UL-94,classification,23.357414484024048,,,,,,,0.7878787878787878,0.0159710992937797,0.7495104824548982,0.0089238162105106,0.7591554880974885,0.0216043718926037,0.7495104824548982,0.0089238162105106,0.75307437955258,0.0139271186890074,0.8476541037695771,0.0322072294623633
UL94,GradientBoosting,success,,495,84,UL-94,classification,123.6410801410675,,,,,,,0.7777777777777779,0.0377945190583226,0.7289441962389193,0.0652544059277945,0.7461229124862324,0.041847129497598,0.7289441962389193,0.0652544059277945,0.7325899225115171,0.0607129305202254,0.8473941665014586,0.0350014401032749
UL94,RandomForest,success,,495,84,UL-94,classification,109.784202337265,,,,,,,0.7595959595959596,0.028029165506084,0.7123342313574442,0.0376613580485542,0.7257262609737013,0.0334683039530971,0.7123342313574442,0.0376613580485542,0.7162059788733786,0.0358690983507679,0.8502628579115805,0.0432507682880172
UL94,ExtraTrees,success,,495,84,UL-94,classification,80.92522740364075,,,,,,,0.7797979797979797,0.0491743896753053,0.7404989698093971,0.0587863597964279,0.7499667799454661,0.0612931145337659,0.7404989698093971,0.0587863597964279,0.7430298324861523,0.0591001520226127,0.844918611402192,0.0627592484385116
UL94,XGBoost,success,,495,84,UL-94,classification,39.07871913909912,,,,,,,0.7757575757575756,0.0297936994015204,0.7304141649437821,0.0391665500861523,0.7431912306719259,0.0353244513319191,0.7304141649437821,0.0391665500861523,0.7356176190895726,0.0376915933716434,0.8566755289019795,0.0409183069503497
