combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
146,0.03,0.001,70,0.85,79,0.7215501353757814
147,0.03,0.001,70,0.9,100,0.714868114291327
148,0.03,0.001,70,0.95,138,0.7342560406627082
149,0.03,0.001,70,0.98,183,0.7220101398010167
150,0.03,0.005,30,0.8,112,0.7364939752734349
151,0.03,0.005,30,0.85,139,0.7466144088646011
152,0.03,0.005,30,0.9,177,0.7524542451090375
153,0.03,0.005,30,0.95,250,0.747718361700646
154,0.03,0.005,30,0.98,331,0.7566909829906309
155,0.03,0.005,40,0.8,102,0.7344667343950759
156,0.03,0.005,40,0.85,126,0.7424012233213422
157,0.03,0.005,40,0.9,158,0.7501366932569165
158,0.03,0.005,40,0.95,223,0.7497156742383858
159,0.03,0.005,40,0.98,291,0.7509017294570202
160,0.03,0.005,50,0.8,92,0.7256997956453117
161,0.03,0.005,50,0.85,111,0.742298369349461
162,0.03,0.005,50,0.9,139,0.745058457588389
163,0.03,0.005,50,0.95,196,0.7365433782625684
164,0.03,0.005,50,0.98,249,0.7487437499753091
165,0.03,0.005,60,0.8,76,0.7391888981785552
166,0.03,0.005,60,0.85,94,0.7443539873090528
167,0.03,0.005,60,0.9,118,0.7306970474631846
168,0.03,0.005,60,0.95,167,0.7419980067405543
169,0.03,0.005,60,0.98,215,0.7526902608437375
170,0.03,0.005,70,0.8,58,0.7300853111106763
171,0.03,0.005,70,0.85,72,0.7265391018461537
172,0.03,0.005,70,0.9,91,0.7499940996410788
173,0.03,0.005,70,0.95,130,0.7366863608721148
174,0.03,0.005,70,0.98,169,0.7452078067315104
175,0.03,0.01,30,0.8,108,0.7442529398907315
176,0.03,0.01,30,0.85,134,0.7441316793277251
177,0.03,0.01,30,0.9,174,0.7481621424795764
178,0.03,0.01,30,0.95,240,0.7446523615182252
179,0.03,0.01,30,0.98,317,0.7548439937967117
180,0.03,0.01,40,0.8,92,0.7305222028147964
181,0.03,0.01,40,0.85,116,0.7404686652752228
182,0.03,0.01,40,0.9,150,0.7363229247573877
183,0.03,0.01,40,0.95,205,0.749867918859841
184,0.03,0.01,40,0.98,271,0.7451719294505457
185,0.03,0.01,50,0.8,77,0.7440191056804915
186,0.03,0.01,50,0.85,98,0.7426569608034393
187,0.03,0.01,50,0.9,128,0.7539587683603275
188,0.03,0.01,50,0.95,177,0.7500690808443451
189,0.03,0.01,50,0.98,233,0.7483816212375886
190,0.03,0.01,60,0.8,64,0.712351684303145
191,0.03,0.01,60,0.85,80,0.7122261174952117
192,0.03,0.01,60,0.9,106,0.7160209065868924
193,0.03,0.01,60,0.95,146,0.7174168799248946
194,0.03,0.01,60,0.98,197,0.7292877110261133
195,0.03,0.01,70,0.8,60,0.7128126299637113
196,0.03,0.01,70,0.85,72,0.7097500734461344
197,0.03,0.01,70,0.9,91,0.7092940161321898
198,0.03,0.01,70,0.95,126,0.7191868250563713
199,0.03,0.01,70,0.98,164,0.7208192761247993
200,0.03,0.02,30,0.8,102,0.7411675554642787
201,0.03,0.02,30,0.85,127,0.7449933533022797
202,0.03,0.02,30,0.9,164,0.7583564779106385
203,0.03,0.02,30,0.95,230,0.7521530228612925
204,0.03,0.02,30,0.98,303,0.749666617914614
205,0.03,0.02,40,0.8,89,0.7360042271165508
206,0.03,0.02,40,0.85,112,0.7524256858715607
207,0.03,0.02,40,0.9,143,0.7577800274272339
208,0.03,0.02,40,0.95,202,0.7542458606523401
209,0.03,0.02,40,0.98,263,0.7665473325517524
210,0.03,0.02,50,0.8,76,0.7414242932529411
211,0.03,0.02,50,0.85,95,0.745246799198633
212,0.03,0.02,50,0.9,123,0.751994748892191
213,0.03,0.02,50,0.95,171,0.7409795552835547
214,0.03,0.02,50,0.98,226,0.75270166845454
215,0.03,0.02,60,0.8,64,0.7265102738041944
216,0.03,0.02,60,0.85,78,0.7415482650617322
217,0.03,0.02,60,0.9,99,0.7417798309089496
218,0.03,0.02,60,0.95,141,0.7326013431607112
219,0.03,0.02,60,0.98,187,0.7365213688747181
220,0.03,0.02,70,0.8,52,0.7250752094525165
221,0.03,0.02,70,0.85,64,0.7429429617643705
222,0.03,0.02,70,0.9,84,0.747749194305345
223,0.03,0.02,70,0.95,116,0.7534426998083475
224,0.03,0.02,70,0.98,150,0.7509747538375393
225,0.03,0.05,30,0.8,88,0.748000237796452
226,0.03,0.05,30,0.85,105,0.7492552621900517
227,0.03,0.05,30,0.9,135,0.7502507820876321
228,0.03,0.05,30,0.95,189,0.7466644630679556
229,0.03,0.05,30,0.98,262,0.7509539994901117
230,0.03,0.05,40,0.8,76,0.7329568710892918
231,0.03,0.05,40,0.85,94,0.7374461663729314
232,0.03,0.05,40,0.9,121,0.7382508379448428
233,0.03,0.05,40,0.95,164,0.739673450596096
234,0.03,0.05,40,0.98,225,0.7550228876482389
235,0.03,0.05,50,0.8,66,0.7056854434557774
236,0.03,0.05,50,0.85,79,0.7153850583564172
237,0.03,0.05,50,0.9,103,0.7089685334511924
238,0.03,0.05,50,0.95,145,0.70664555279428
239,0.03,0.05,50,0.98,194,0.7143700330132743
240,0.03,0.05,60,0.8,55,0.7152958110060065
241,0.03,0.05,60,0.85,64,0.7013549365097675
242,0.03,0.05,60,0.9,85,0.7150451383253366
243,0.03,0.05,60,0.95,119,0.7177715473440295
244,0.03,0.05,60,0.98,157,0.7223900207068753
245,0.03,0.05,70,0.8,46,0.703175877165331
246,0.03,0.05,70,0.85,54,0.7109768042379961
247,0.03,0.05,70,0.9,68,0.7101595182284302
248,0.03,0.05,70,0.95,90,0.7157923572170126
249,0.03,0.05,70,0.98,119,0.7217268369002277
250,0.05,0.001,30,0.8,85,0.7468383924550119
251,0.05,0.001,30,0.85,104,0.7703623457749815
252,0.05,0.001,30,0.9,134,0.7698149402607085
253,0.05,0.001,30,0.95,185,0.7637691451488962
254,0.05,0.001,30,0.98,244,0.756832659438814
255,0.05,0.001,40,0.8,75,0.6480797688251784
256,0.05,0.001,40,0.85,92,0.650520278747144
257,0.05,0.001,40,0.9,121,0.6497601989031729
258,0.05,0.001,40,0.95,165,0.6770594414567002
