Accuracy,Balanced Accuracy,Precision macro,Recall macro,F1 macro,ROC-AUC,task,model,fold,best_score_inner_cv,selection_method,search_error
0.7474747474747475,0.6828358208955223,0.711891891891892,0.6828358208955223,0.6920492721164613,0.8624067164179104,UL94,RandomForest,5,0.8311671365020378,random_search,
0.7777777777777778,0.7680265654648957,0.7462946817785527,0.7680265654648957,0.7536199095022624,0.8202087286527514,UL94,ExtraTrees,1,0.8155559979704218,random_search,
0.8383838383838383,0.7989738805970149,0.8224346076458753,0.7989738805970149,0.808695652173913,0.9146455223880597,UL94,ExtraTrees,2,0.800604472353449,random_search,
0.7676767676767676,0.730410447761194,0.7343453510436433,0.730410447761194,0.7322751322751323,0.8661380597014925,UL94,ExtraTrees,3,0.8206429163619303,random_search,
0.7070707070707071,0.6448227611940298,0.6597222222222222,0.6448227611940298,0.6499207413730033,0.75,UL94,ExtraTrees,4,0.8423119817467,random_search,
0.8080808080808081,0.7602611940298507,0.787037037037037,0.7602611940298507,0.7706377271064504,0.8736007462686567,UL94,ExtraTrees,5,0.7975615221652151,random_search,
0.7575757575757576,0.7094402277039848,0.7174876847290641,0.7094402277039848,0.7130434782608697,0.821157495256167,UL94,XGBoost,1,0.8346845996767606,random_search,
0.8282828282828283,0.7996735074626866,0.8047912713472486,0.7996735074626866,0.8021164021164021,0.9188432835820896,UL94,XGBoost,2,0.8288652427359858,random_search,
0.7676767676767676,0.7222481343283582,0.7347290640394089,0.7222481343283582,0.7275338039966495,0.857276119402985,UL94,XGBoost,3,0.8371694158602966,random_search,
0.7575757575757576,0.7066231343283582,0.7228370221327969,0.7066231343283582,0.7130434782608697,0.8185634328358209,UL94,XGBoost,4,0.8438975781933712,random_search,
0.7676767676767676,0.7140858208955223,0.7361111111111112,0.7140858208955223,0.7223509328130715,0.8675373134328358,UL94,XGBoost,5,0.8237730361042791,random_search,
